date,actual,counterfactual,effect
2011-09-24,0.0,0.0,0.0
2011-09-25,37647.1932,9224.4,28422.7932
2011-09-26,35195.8092,20005.16,15190.649200000003
2011-09-27,35129.232,37190.52,-2061.287999999993
2011-09-28,46869.468,29587.42,17282.048000000003
2011-09-29,53675.244,25688.61,27986.634
2011-09-30,48040.128,27302.75,20737.377999999997
2011-10-01,0.0,0.0,0.0
2011-10-02,13899.54,9224.4,4675.140000000001
2011-10-03,74731.14,20005.16,54725.979999999996
2011-10-04,46428.24,37190.52,9237.720000000001
2011-10-05,88930.116,29587.42,59342.695999999996
2011-10-06,72465.36,25688.61,46776.75
2011-10-07,59025.204,27302.75,31722.453999999998
2011-10-08,0.0,0.0,0.0
2011-10-09,14960.172,9224.4,5735.772000000001
2011-10-10,51696.384,20005.16,31691.224
2011-10-11,55724.124,37190.52,18533.604000000007
2011-10-12,33277.644,29587.42,3690.224000000002
2011-10-13,39647.016,25688.61,13958.406000000003
2011-10-14,38549.616,27302.75,11246.866000000002
2011-10-15,0.0,0.0,0.0
2011-10-16,26413.152,9224.4,17188.752
2011-10-17,56406.28799999999,20005.16,36401.128
2011-10-18,44762.88,37190.52,7572.360000000001
2011-10-19,44800.224,29587.42,15212.804000000004
2011-10-20,73276.87199999999,25688.61,47588.26199999999
2011-10-21,72500.712,27302.75,45197.962
2011-10-22,0.0,0.0,0.0
2011-10-23,14806.991999999998,9224.4,5582.591999999999
2011-10-24,47178.336,20005.16,27173.176000000003
2011-10-25,43483.13999999999,37190.52,6292.619999999995
2011-10-26,41322.384,29587.42,11734.964
2011-10-27,67004.568,25688.61,41315.958
2011-10-28,44748.684,27302.75,17445.934
2011-10-29,0.0,0.0,0.0
2011-10-30,41485.476,9224.4,32261.076
2011-10-31,39658.284,20005.16,19653.124
2011-11-01,34959.372,37190.52,-2231.1479999999938
2011-11-02,46481.63999999999,29587.42,16894.219999999994
2011-11-03,72806.53199999999,25688.61,47117.92199999999
2011-11-04,67319.08799999999,27302.75,40016.33799999999
2011-11-05,0.0,0.0,0.0
2011-11-06,51529.608,9224.4,42305.208
2011-11-07,34535.088,20005.16,14529.928000000004
2011-11-08,45954.144,37190.52,8763.624000000003
2011-11-09,73787.016,29587.42,44199.596000000005
2011-11-10,84615.94799999999,25688.61,58927.33799999999
2011-11-11,44497.644,27302.75,17194.894
2011-11-12,0.0,0.0,0.0
2011-11-13,34329.336,9224.4,25104.936
2011-11-14,70533.252,20005.16,50528.09199999999
2011-11-15,57274.8,37190.52,20084.280000000006
2011-11-16,58127.712,29587.42,28540.292
2011-11-17,67062.36,25688.61,41373.75
2011-11-18,44101.5,27302.75,16798.75
2011-11-19,0.0,0.0,0.0
2011-11-20,36229.104,9224.4,27004.703999999998
2011-11-21,54399.756,20005.16,34394.596000000005
2011-11-22,59597.868,37190.52,22407.348000000005
2011-11-23,86375.91599999998,29587.42,56788.495999999985
2011-11-24,46294.932,25688.61,20606.322
2011-11-25,32009.592,27302.75,4706.842000000001
2011-11-26,0.0,0.0,0.0
2011-11-27,20761.152,9224.4,11536.751999999999
2011-11-28,62198.00399999999,20005.16,42192.844
2011-11-29,58622.016,37190.52,21431.496000000006
2011-11-30,49777.476,29587.42,20190.056000000004
2011-12-01,53440.78799999999,25688.61,27752.177999999993
2011-12-02,53656.428,27302.75,26353.678
2011-12-03,0.0,0.0,0.0
2011-12-04,24451.152,9224.4,15226.751999999999
2011-12-05,69842.652,20005.16,49837.492
2011-12-06,55372.848,37190.52,18182.328
2011-12-07,83225.05200000001,29587.42,53637.63200000001
2011-12-08,60623.292,25688.61,34934.682
2011-12-09,221219.136,27302.75,193916.386
